id,oldId,title,prompt,text,isHidden,isPg,isFeatured,temperature,topP,createdAt,updatedAt
1,,Banana Farm,Banana Farm,"Once upon a time, there was a [adjective] farmer named [name]. [Name] had a [animal] farm, but instead of animals, he raised [plural_noun]! Every morning, [name] would wake up and tend to the [plural_noun] by singing to them and giving them plenty of [noun] to eat. The bananas that grew on [name]'s farm were the biggest and most delicious in the whole [place].",false,true,false,0.70,1.00,2025-01-25 07:32:51.427116+00,2025-01-25 07:32:51.427116+00
2,,A Day in the Life of a Superhero,A Day in the Life of a Superhero,"Every morning, [superhero_name] wakes up and puts on their [color] costume. They then fly off to [city] in search of crime to fight. After a long day of saving the city, they return home to their secret lair and relax by [verb_ending_in_ing] while watching TV. Being a superhero is tough work, but someone has to do it!",false,true,true,0.70,1.00,2025-01-25 07:34:32.612326+00,2025-01-25 07:34:32.612326+00
3,,The Alien Space Party,The Alien Space Party,"Last night, I went to an [adjective] alien space party. When I arrived, I saw a group of aliens doing the [verb] dance I've ever seen. The DJ was playing some [adjective] music that made everyone [emotion]. I decided to join in and show off my best [noun] moves. It was out of this world!",false,true,true,0.70,1.00,2025-01-25 07:34:43.891793+00,2025-01-25 07:34:43.891793+00
4,,The Time-Traveling Disaster,The Time-Traveling Disaster,"One day, [person_1] decided to test out their new time machine. They set the dial to the year [year] and were immediately transported to a [adjective_1] world. As they explored, they encountered a group of [noun_1] who were in the middle of a [adjective_2] argument. Trying to avoid the conflict, [person_1] accidentally stepped on a [noun_2] that triggered a series of catastrophic events, leading to a __[adjective_3]__ disaster.",false,true,false,0.70,1.00,2025-01-25 07:34:57.256971+00,2025-01-25 07:34:57.256971+00
5,,Cooking with Grandma’s Secret Recipe,Cooking with Grandma’s Secret Recipe,"Today, I learned how to make Grandma's famous [noun] recipe. First, she showed me how to mix the [adjective] sauce with the [noun]. Then, she added a pinch of [noun] to give it that special flavor. Finally, we let it [verb] for an hour before it was ready to eat.",false,true,false,0.70,1.00,2025-01-25 07:35:20.442454+00,2025-01-25 07:35:20.442454+00
6,,The Haunted Pet Adoption Center,The Haunted Pet Adoption Center,"I went to the [adjective] pet adoption center to find a new [animal]. As I walked through the [adjective] halls, I heard strange [plural noun] coming from the [room]. Suddenly, a [adjective] [animal] appeared and started [verb ending in -ing] towards me. I quickly [verb] out of there and never looked back.",false,true,false,0.70,1.00,2025-01-25 07:35:40.998212+00,2025-01-25 07:35:40.998212+00
7,,The Rock Fights Kevin Hart,The Rock fights Kevin Hart,"Once upon a time, [adjective] Dwayne 'The Rock' Johnson challenged [adjective] Kevin Hart to a [noun] match. The crowd cheered as the two [plural_noun] faced off in the ring. The Rock delivered a powerful punch, but Kevin Hart dodged it with lightning speed. In the end, the match ended in a tie and the two opponents hugged it out, showing true sportsmanship.",false,true,true,0.70,1.00,2025-01-25 07:37:18.931313+00,2025-01-25 07:37:18.931313+00
8,,Car Mad Lib,Car,"I was driving my [adjective] [noun] down the [adjective] road when suddenly I saw a [adjective] [noun] in the middle of the street. I quickly slammed on my [noun] and swerved to avoid hitting it. I couldn't believe my [adjective] luck! As I continued down the road, I noticed a [adjective] [noun] on the side of the road with a flat [noun]. I pulled over to help and ended up spending the rest of the day fixing their [noun]. Eventually, we were back on the road and I couldn't help but feel grateful for the unexpected [noun].",false,true,false,0.70,1.00,2025-01-25 07:37:28.150622+00,2025-01-25 07:37:28.150622+00
9,,Grandma's Secret Recipe,What did grandma cook,"When I walked into Grandma's house, I was greeted by the delicious smell of [adjective] _[noun]_ wafting from the kitchen. Grandma always had a knack for making the best [adjective] _[noun]_ I've ever tasted. She would spend hours [verb ending in -ing] in the kitchen, carefully adding her secret ingredient, [noun], to the mix. It was no wonder that everyone in the family couldn't resist Grandma's famous [adjective] _[noun]_.",false,true,false,0.70,1.00,2025-01-25 07:38:18.069811+00,2025-01-25 07:38:18.069811+00
10,,The Worlds Weirdest Zoo,The worlds weirdest zoo,"Welcome to the [adjective] zoo on the planet! Here, you can see the rarest creatures in the universe, such as the [animal] with [number] legs, the [adjective] [animal] that can [verb] backwards, and the [color] [animal] that loves to eat [food]! Visitors are always [adverb] amazed by the strange and wonderful animals at this zoo.",false,true,true,0.70,1.00,2025-01-25 07:38:37.103426+00,2025-01-25 07:38:37.103426+00
